FIPS,STNAME,CTYNAME,TOTAL,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,NHWA_MALE,NHWA_FEMALE,NHWhite_Alone,Not_NHWhite_Alone,MinorityMinority,MinorityPCT,Black,BlackPCT,Hispanic,HispanicPCT
12001,Florida,Alachua County,35737,121680,129737,87661,91505,78087,81554,159641,91776,No,36.50%,51115,20%,22151,8.81%
12003,Florida,Baker County,23374,14138,12948,11569,11213,11270,10978,22248,4838,No,17.86%,3617,13%,628,2.32%
12005,Florida,Bay County,15017,84984,86919,70873,71628,67031,68034,135065,36838,No,21.43%,19161,11%,8856,5.15%
12007,Florida,Bradford County,24577,14696,12353,11066,10052,10484,9796,20280,6769,No,25.02%,5259,19%,965,3.57%
12009,Florida,Brevard County,13013,267595,279712,226727,234376,206725,213502,420227,127080,No,23.22%,57500,11%,47892,8.75%
12011,Florida,Broward County,44732,881656,933481,592999,606523,379874,380877,760751,1054386,Yes,58.09%,506874,28%,480524,26.47%
12013,Florida,Calhoun County,9271,8015,6708,6339,5766,5842,5573,11415,3308,No,22.47%,2013,14%,790,5.37%
12015,Florida,Charlotte County,2391,79020,83429,71638,75855,66990,71182,138172,24277,No,14.94%,9917,6%,10638,6.55%
12017,Florida,Citrus County,2489,67351,72009,63105,67341,60014,64307,124321,15039,No,10.79%,4204,3%,6834,4.90%
12019,Florida,Clay County,8758,95154,99191,79723,81916,72941,75059,148000,46345,No,23.85%,20137,10%,16279,8.38%
12021,Florida,Collier County,10073,163637,168790,147223,151859,103616,112561,216177,116250,No,34.97%,23527,7%,87123,26.21%
12023,Florida,Columbia County,14942,35218,32748,27011,26042,25279,24689,49968,17998,No,26.48%,12527,18%,3520,5.18%
12027,Florida,DeSoto County,7865,19562,15150,16032,12926,9778,9429,19207,15505,No,44.67%,4688,14%,10507,30.27%
12029,Florida,Dixie County,4130,8671,7455,7510,6829,7190,6610,13800,2326,No,14.42%,1431,9%,590,3.66%
12031,Florida,Duval County,9180,426602,453000,272227,277828,242704,249326,492030,387572,No,44.06%,262849,30%,71665,8.15%
12033,Florida,Escambia County,8533,149931,152784,107104,105159,100060,99667,199727,102988,No,34.02%,69289,23%,15488,5.12%
12035,Florida,Flagler County,12334,47175,51184,39798,42771,36001,38672,74673,23686,No,24.08%,11321,12%,9078,9.23%
12037,Florida,Franklin County,6760,6732,4954,5325,4384,4937,4246,9183,2503,No,21.42%,1650,14%,579,4.95%
12039,Florida,Gadsden County,14632,23261,23267,10386,9375,8161,7361,15522,31006,Yes,66.64%,25668,55%,4871,10.47%
12041,Florida,Gilchrist County,3636,8798,8017,7917,7543,7483,7229,14712,2103,No,12.51%,950,6%,838,4.98%
12043,Florida,Glades County,7961,7489,5618,5793,4687,4297,3701,7998,5109,No,38.98%,1729,13%,2817,21.49%
12045,Florida,Gulf County,631,9433,6285,6955,5334,6404,5206,11610,4108,No,26.14%,3004,19%,730,4.64%
12047,Florida,Hamilton County,11642,8646,6062,5229,3948,4497,3551,8048,6660,No,45.28%,5049,34%,1333,9.06%
12049,Florida,Hardee County,7020,14728,12786,13013,11379,6679,6411,13090,14424,Yes,52.42%,2063,7%,11847,43.06%
12051,Florida,Hendry County,4960,19771,17676,16363,14331,6458,6603,13061,24386,Yes,65.12%,5100,14%,18587,49.64%
12053,Florida,Hernando County,8582,82943,90479,75551,82311,67246,73523,140769,32653,No,18.83%,9582,6%,18959,10.93%
12055,Florida,Highlands County,5923,47819,50309,41150,43280,32515,35643,68158,29970,No,30.54%,9997,10%,17794,18.13%
12057,Florida,Hillsborough County,4685,623888,653858,477383,491366,332242,344458,676700,601046,No,47.04%,221976,17%,326741,25.57%
12059,Florida,Holmes County,11717,10575,9229,9177,8652,8866,8482,17348,2456,No,12.40%,1277,6%,537,2.71%
12061,Florida,Indian River County,8000,67813,72754,59306,63814,51340,56569,107909,32658,No,23.23%,12984,9%,16433,11.69%
12063,Florida,Jackson County,8606,27019,21949,18291,15885,16896,15336,32232,16736,No,34.18%,13274,27%,2301,4.70%
12065,Florida,Jefferson County,4938,7413,6843,4585,4204,4302,4032,8334,5922,No,41.54%,5108,36%,557,3.91%
12067,Florida,Lafayette County,11533,5309,3495,4064,3191,3393,2852,6245,2559,No,29.07%,1363,15%,1088,12.36%
12069,Florida,Lake County,6571,146692,156494,124908,132706,107651,115206,222857,80329,No,26.49%,31736,10%,39299,12.96%
12071,Florida,Lee County,14910,316506,328787,276990,286563,219852,232460,452312,192981,No,29.91%,57810,9%,122085,18.92%
12073,Florida,Leon County,14697,134982,148787,87384,92273,80068,84700,164768,119001,No,41.94%,88587,31%,17730,6.25%
12075,Florida,Levy County,9058,19763,20262,17293,17635,15777,16367,32144,7881,No,19.69%,3895,10%,3088,7.72%
12077,Florida,Liberty County,1368,5114,3162,3710,2722,3335,2600,5935,2341,No,28.29%,1573,19%,587,7.09%
12079,Florida,Madison County,7247,9951,8956,5846,5214,5313,4967,10280,8627,No,45.63%,7419,39%,918,4.86%
12081,Florida,Manatee County,8498,161558,172337,140474,148772,116198,126425,242623,91272,No,27.34%,31212,9%,50928,15.25%
12083,Florida,Marion County,10052,160795,174330,134335,144632,117065,127692,244757,90368,No,26.97%,43691,13%,38317,11.43%
12085,Florida,Martin County,1612,73672,75145,66150,68658,57259,61279,118538,30279,No,20.35%,8613,6%,18837,12.66%
12086,Florida,Miami-Dade County,12847,1258195,1332840,980926,1029458,215968,206525,422493,2168542,Yes,83.69%,496932,19%,1666528,64.32%
12087,Florida,Monroe County,6568,39615,35194,35865,31602,27823,24460,52283,22526,No,30.11%,4759,6%,16025,21.42%
12089,Florida,Nassau County,6738,36759,37870,33331,34139,32154,33019,65173,9456,No,12.67%,4939,7%,2696,3.61%
12091,Florida,Okaloosa County,2722,96162,93921,79638,76822,72859,70768,143627,46456,No,24.44%,18678,10%,15378,8.09%
12093,Florida,Okeechobee County,311,21108,18359,18039,16378,12639,12499,25138,14329,No,36.31%,3569,9%,9825,24.89%
12095,Florida,Orange County,2316,591772,610462,417799,420992,270301,268776,539077,663157,Yes,55.16%,262499,22%,339202,28.21%
12097,Florida,Osceola County,264,141564,145852,114009,117273,54566,55319,109885,177531,Yes,61.77%,37298,13%,137251,47.75%
12099,Florida,Palm Beach County,4636,657259,699286,506279,536609,381856,414381,796237,560308,No,41.30%,246973,18%,272389,20.08%
12101,Florida,Pasco County,11717,228769,241622,206102,217861,179684,190905,370589,99802,No,21.22%,24545,5%,59063,12.56%
12103,Florida,Pinellas County,226,442316,479003,371018,399448,336669,364635,701304,220015,No,23.88%,99137,11%,78368,8.51%
12105,Florida,Polk County,1573,302111,314047,242101,250962,189363,200983,390346,225812,No,36.65%,95980,16%,114459,18.58%
12107,Florida,Putnam County,1629,36223,37040,29304,29567,26040,26600,52640,20623,No,28.15%,12227,17%,6940,9.47%
12109,Florida,St. Johns County,1535,98266,103922,88389,93347,83378,88004,171382,30806,No,15.24%,11594,6%,11477,5.68%
12111,Florida,St. Lucie County,1894,138389,145477,105632,109439,83480,88059,171539,112327,No,39.57%,56369,20%,48651,17.14%
12113,Florida,Santa Rosa County,1164,80845,77667,69844,68871,66417,65797,132214,26298,No,16.59%,10273,6%,7776,4.91%
12115,Florida,Sarasota County,665,184305,201842,169301,185348,154181,170816,324997,61150,No,15.84%,19243,5%,32570,8.43%
12117,Florida,Seminole County,318,208591,222247,170609,180266,136858,143894,280752,150086,No,34.84%,50770,12%,78569,18.24%
12119,Florida,Sumter County,6718,52205,49415,44774,45603,41509,43648,85157,16463,No,16.20%,9156,9%,5870,5.78%
12121,Florida,Suwannee County,4049,22891,20765,18872,17728,16761,16215,32976,10680,No,24.46%,5850,13%,3996,9.15%
12123,Florida,Taylor County,740,12846,9898,9409,7835,8766,7675,16441,6303,No,27.71%,4767,21%,898,3.95%
12125,Florida,Union County,106,9858,5354,6906,4546,6408,4362,10770,4442,No,29.20%,3455,23%,790,5.19%
12127,Florida,Volusia County,207,242099,254851,206263,216033,180519,189721,370240,126710,No,25.50%,54706,11%,58790,11.83%
12129,Florida,Wakulla County,271,16874,13944,13328,12011,12737,11656,24393,6425,No,20.85%,4545,15%,1121,3.64%
12131,Florida,Walton County,97,29419,28163,26091,25485,24451,24141,48592,8990,No,15.61%,3451,6%,3416,5.93%
12133,Florida,Washington County,63,13631,11261,10598,9401,10161,9155,19316,5576,No,22.40%,3896,16%,822,3.30%
,,,85,,,,,,,,,,,,,,
,,,88,,,,,,,,,,,,,,
,,,454,,,,,,,,,,,,,,
,,,1951,,,,,,,,,,,,,,
,,,1045,,,,,,,,,,,,,,
,,,14596,,,,,,,,,,,,,,
,,,307,,,,,,,,,,,,,,
,,,837,,,,,,,,,,,,,,
,,,581,,,,,,,,,,,,,,
,,,53,,,,,,,,,,,,,,
,,,30,,,,,,,,,,,,,,
,,,2002,,,,,,,,,,,,,,
,,,4551,,,,,,,,,,,,,,
,,,1762,,,,,,,,,,,,,,
,,,485,,,,,,,,,,,,,,
,,,55,,,,,,,,,,,,,,
,,,124,,,,,,,,,,,,,,
,,,3552,,,,,,,,,,,,,,
,,,3901,,,,,,,,,,,,,,
,,,804,,,,,,,,,,,,,,
,,,12277,,,,,,,,,,,,,,
,,,603,,,,,,,,,,,,,,
,,,519,,,,,,,,,,,,,,
,,,2425,,,,,,,,,,,,,,
,,,754,,,,,,,,,,,,,,
,,,7076,,,,,,,,,,,,,,
,,,2183,,,,,,,,,,,,,,
,,,7944,,,,,,,,,,,,,,
,,,5608,,,,,,,,,,,,,,
,,,9342,,,,,,,,,,,,,,
,,,7387,,,,,,,,,,,,,,
,,,1143,,,,,,,,,,,,,,
,,,1563,,,,,,,,,,,,,,
,,,2516,,,,,,,,,,,,,,
,,,2343,,,,,,,,,,,,,,
,,,1298,,,,,,,,,,,,,,
,,,2559,,,,,,,,,,,,,,
,,,557,,,,,,,,,,,,,,
,,,417,,,,,,,,,,,,,,
,,,349,,,,,,,,,,,,,,
,,,97,,,,,,,,,,,,,,
,,,4673,,,,,,,,,,,,,,
,,,234,,,,,,,,,,,,,,
,,,1006,,,,,,,,,,,,,,
,,,231,,,,,,,,,,,,,,
,,,4,,,,,,,,,,,,,,
